date,XON,PG,PFE,WMT,INTC
19960731,-0.053237,-0.010207,-0.016813,-0.054187,0.02366
19960830,0.000486,-0.004202,0.0161,0.101146,0.062396
19960930,0.021472,0.097046,0.114437,0,0.195771
19961031,0.064565,0.02,0.045814,0.004739,0.151801
19961129,0.073794,0.098485,0.086707,-0.037736,0.154721
19961231,0.038411,-0.010345,-0.073919,-0.105784,0.03202
19970131,0.057398,0.074983,0.114458,0.043956,0.239523
19970228,-0.024946,0.038919,-0.005784,0.110526,-0.125578
19970331,0.074813,-0.044745,-0.081855,0.059431,-0.019383
19970430,0.051044,0.099782,0.141159,0.008969,0.100988
19970530,0.053598,0.096421,0.076458,0.062222,-0.010612
19970630,0.033755,0.024479,0.160194,0.134059,-0.063944
19970731,0.04898,0.080566,0.000753,0.109057,0.295267
19970829,-0.041284,-0.124897,-0.070231,-0.053333,0.003404
19970930,0.046987,0.037559,0.084555,0.033592,0.002035
19971031,-0.040976,-0.011729,0.180873,-0.044369,-0.165552
19971128,-0.000448,0.120404,0.027042,0.144643,0.008117
19971231,0.003074,0.04758,0.024914,-0.013916,-0.095008
19980130,-0.030644,-0.014847,0.096396,0.009509,0.153452
19980227,0.081728,0.082935,0.084893,0.163265,0.107253
19980331,0.060784,-0.005891,0.126412,0.098839,-0.129617
19980430,0.080407,-0.022933,0.141693,-0.00492,0.035612
19980529,-0.029461,0.020532,-0.077408,0.090235,-0.116009
19980630,0.012411,0.085693,0.036971,0.103447,0.03762
19980731,-0.015762,-0.125216,0.010351,0.039095,0.139123
19980831,-0.062669,-0.03622,-0.15251,-0.065347,-0.156566
19980930,0.079274,-0.070261,0.138627,-0.072839,0.204565
19981030,0.014159,0.250931,0.014775,0.264302,0.040087
19981130,0.052845,-0.01198,0.044869,0.090498,0.207176
19981231,-0.025,0.042083,0.116695,0.082357,0.101626
19990129,-0.039316,-0.00167,0.029,0.056025,0.188719
19990226,-0.046655,-0.015131,0.027464,0.001453,-0.148718
19990331,0.060094,0.094274,0.051634,0.071553,-0.008859
19990430,0.177148,-0.039209,-0.170721,-0.002034,0.029443
19990528,-0.033439,-0.004664,-0.068159,-0.07337,-0.115955
19990630,-0.034429,-0.044177,0.018692,0.133138,0.100578
19990730,0.029173,0.018291,-0.067661,-0.124352,0.159664
19990831,-0.001134,0.095928,0.116753,0.048817,0.191558
19990930,-0.03645,-0.055416,-0.049669,0.074471,-0.095817
19991029,-0.025493,0.12208,0.106272,0.191853,0.042052
19991130,0.076827,0.034565,-0.084598,0.014333,-0.009298
19991231,0.01576,0.009793,-0.105172,0.203043,0.07335
20000131,0.035687,-0.074661,0.115607,-0.207957,0.201974
20000229,-0.092105,-0.130489,-0.109775,-0.107306,0.142438
20000331,0.034855,-0.357041,0.138132,0.157238,0.167589
20000428,-0.003208,0.063186,0.152137,-0.019912,-0.038844
20000531,0.078069,0.112971,0.06,0.047404,-0.01652
20000630,-0.057764,-0.139098,0.077139,-0.005431,0.07218
20000731,0.019108,-0.000437,-0.101563,-0.046638,-0.001403
20000831,0.025812,0.086813,0.004986,-0.136519,0.121948
20000929,0.091884,0.083923,0.039017,0.015758,-0.444908
20001031,0.000701,0.071455,-0.038943,-0.057143,0.082707
20001130,-0.008381,0.048119,0.028133,0.150138,-0.153722
20001229,-0.012074,0.047579,0.038082,0.019114,-0.210181
20010131,-0.032063,-0.079649,-0.018478,0.069176,0.230769
20010228,-0.03161,-0.018653,-0.000886,-0.118134,-0.2275
20010330,-0.000617,-0.112057,-0.09,0.009583,-0.078775
20010430,0.093827,-0.035144,0.057387,0.024554,0.174727
20010531,0.006659,0.069775,-0.006928,0.000193,-0.125526
20010629,-0.015549,-0.006849,-0.066216,-0.055652,0.082932
20010731,-0.043847,0.119122,0.029214,0.145492,0.019145
20010831,-0.033046,0.044072,-0.067928,-0.140429,-0.061389
20010928,-0.01868,-0.018341,0.046724,0.031634,-0.268956
20011031,0.001269,0.018821,0.044888,0.038384,0.194716
20011130,-0.046134,0.049878,0.036277,0.072957,0.338247
20011231,0.050802,0.021559,-0.079889,0.044787,-0.037048
20020131,-0.006361,0.037028,0.045671,0.042224,0.114149
20020228,0.063508,0.038075,-0.013919,0.033845,-0.184646
20020328,0.061259,0.062507,-0.029785,-0.01024,0.065149
20020430,-0.083505,0.006105,-0.085305,-0.088744,-0.059191
20020531,-0.000249,-0.007866,-0.044567,-0.031507,-0.033904
20020628,0.024793,0.00543,0.011561,0.018207,-0.338523
20020731,-0.101662,0.00112,-0.075714,-0.105981,0.028462
20020830,-0.02938,-0.003821,0.026584,0.087434,-0.111762
20020930,-0.100141,0.008235,-0.122733,-0.07788,-0.166767
20021031,0.055172,-0.005818,0.094762,0.08753,0.2455
20021129,0.040701,-0.044319,-0.003462,0.006536,0.208092
20021231,0.004023,0.016681,-0.030447,-0.061503,-0.25431
20030131,-0.02261,0.000465,-0.001963,-0.053653,0.008349
20030228,0.002928,-0.043356,-0.017787,0.005439,0.100637
20030331,0.027337,0.087833,0.044936,0.084478,-0.056779
20030430,0.007153,0.013588,-0.013158,0.082452,0.128378
