date,sp500
20080815,0.004286
20080818,-0.014872
20080819,-0.009214
20080820,0.006187
20080821,0.00249
20080822,0.011538
20080825,-0.019459
20080826,0.003619
20080827,0.008053
20080828,0.014869
20080829,-0.013721
20080902,-0.003892
20080903,-0.001604
20080904,-0.02962
20080905,0.004572
20080908,0.020415
20080909,-0.033592
20080910,0.00603
20080911,0.014306
20080912,0.001924
20080915,-0.046419
20080916,0.017108
20080917,-0.047029
20080918,0.042869
20080919,0.040159
20080922,-0.037926
20080923,-0.015319
20080924,-0.001766
20080925,0.019586
20080926,0.003484
20080929,-0.087094
20080930,0.053993
20081001,-0.004515
20081002,-0.039694
20081003,-0.013309
20081006,-0.037788
20081007,-0.058159
20081008,-0.010852
20081009,-0.075734
20081010,-0.011172
20081013,0.115133
20081014,-0.006043
20081015,-0.089966
20081016,0.04335
20081017,-0.006222
20081020,0.047038
20081021,-0.030627
20081022,-0.059079
20081023,0.010967
20081024,-0.034157
20081027,-0.031781
20081028,0.107242
20081029,-0.011462
20081030,0.027034
20081031,0.01532
20081103,-0.002754
20081104,0.04026
20081105,-0.051925
20081106,-0.04946
20081107,0.029011
20081110,-0.012278
20081111,-0.021958
20081112,-0.051133
20081113,0.068893
20081114,-0.041756
20081117,-0.025816
20081118,0.010164
20081119,-0.060607
20081120,-0.065964
20081121,0.063255
20081124,0.063418
20081125,0.006564
20081126,0.035612
20081128,0.009108
20081201,-0.088632
20081202,0.039422
20081203,0.026509
20081204,-0.028669
20081205,0.037059
20081208,0.03799
20081209,-0.022993
20081210,0.011764
20081211,-0.028225
20081212,0.007138
20081215,-0.012723
20081216,0.051
20081217,-0.009406
20081218,-0.020668
20081219,0.003024
20081222,-0.017844
20081223,-0.009531
20081224,0.006205
20081226,0.005217
20081229,-0.003809
20081230,0.024398
20081231,0.014131
20090102,0.031761
20090105,-0.004636
20090106,0.007638
20090107,-0.029294
20090108,0.002718
20090109,-0.020917
20090112,-0.022315
20090113,0.002039
20090114,-0.033126
20090115,0.001564
20090116,0.007781
20090120,-0.052247
20090121,0.042629
20090122,-0.015311
20090123,0.005171
20090126,0.005588
20090127,0.010901
20090128,0.033121
20090129,-0.032553
20090130,-0.022669
20090202,-0.000563
20090203,0.016112
20090204,-0.006879
20090205,0.016831
20090206,0.027223
20090209,0.001328
20090210,-0.048566
20090211,0.008565
20090212,0.002086
20090213,-0.010063
20090217,-0.044383
20090218,-0.000199
20090219,-0.01121
20090220,-0.010918
20090223,-0.03462
20090224,0.039572
20090225,-0.010666
20090226,-0.015826
20090227,-0.022813
20090302,-0.046123
20090303,-0.006363
20090304,0.023934
20090305,-0.041599
20090306,0.001256
20090309,-0.009899
20090310,0.062793
20090311,0.002968
20090312,0.040657
20090313,0.007563
20090316,-0.003904
20090317,0.032028
20090318,0.020636
20090319,-0.012424
20090320,-0.019346
20090323,0.07033
20090324,-0.018541
20090325,0.007886
20090326,0.023394
20090327,-0.019026
20090330,-0.035222
20090331,0.013143
20090401,0.016712
20090402,0.02854
20090403,0.009786
20090406,-0.008214
20090407,-0.023262
20090408,0.011775
20090409,0.037105
20090413,0.002745
20090414,-0.01982
20090415,0.012109
20090416,0.015556
20090417,0.004765
20090420,-0.042135
20090421,0.020998
20090422,-0.007495
20090423,0.010041
20090424,0.01658
20090427,-0.00989
20090428,-0.002899
20090429,0.021661
20090430,-0.000906
20090501,0.004942
20090504,0.033089
20090505,-0.003355
20090506,0.017047
20090507,-0.0132
20090508,0.023641
20090511,-0.020491
20090512,-0.000724
20090513,-0.026245
20090514,0.010117
20090515,-0.011213
20090518,0.030394
20090519,-0.001501
20090520,-0.004993
20090521,-0.016312
20090522,-0.001219
20090526,0.026212
20090527,-0.018747
20090528,0.015331
20090529,0.013552
20090601,0.025957
20090602,0.001893
20090603,-0.013036
20090604,0.011331
20090605,-0.002298
20090608,-0.000884
20090609,0.003606
20090610,-0.003454
20090611,0.005926
20090612,0.001513
20090615,-0.023676
20090616,-0.012557
20090617,-0.001058
20090618,0.00839
20090619,0.003153
20090622,-0.029761
20090623,0.002037
20090624,0.006795
20090625,0.02137
20090626,-0.001578
20090629,0.008951
20090630,-0.008363
20090701,0.004366
20090702,-0.028866
20090706,0.002452
20090707,-0.019498
20090708,-0.000849
20090709,0.003317
20090710,-0.004008
20090713,0.024724
20090714,0.005305
20090715,0.029502
20090716,0.008569
20090717,-0.000444
20090720,0.011461
20090721,0.003641
20090722,-0.000315
20090723,0.022961
20090724,0.002755
20090727,0.002713
